Company,Instrument,Credit Rating,1Y Range,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
9.3219% Tata Capital 2019,Debenture,AAA,0.00 - 3.86,3.54
HDFC 2020,Non Convertible Debenture,AAA,0.00 - 2.38,2.17
Tata Capital 364-D 13/11/2019,Commercial Paper,A1+,0.00 - 4.59,1.80
6.65% RBL Bank 2020,Fixed Deposits,-,0.00 - 1.16,1.07
7% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.14,1.04
6.85% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.11,1.02
6.85% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.11,1.02
6.85% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.11,1.02
9.05% M&M Financial Services 2019,Debenture,AAA,0.00 - 1.05,0.96
6.65% Federal Bank 2020,Fixed Deposits,-,0.00 - 0.85,0.85
8.43% HDFC 2020,Bonds/Debentures,AAA,0.00 - 0.59,0.54
6.75% RBL Bank 2020,Fixed Deposits,-,0.00 - 0.58,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.2% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
5.6% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.6% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.6% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.75% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.75% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.58,0.53
7% HDFC Bank 2019,Fixed Deposits,-,0.00 - 0.85,0.53
7% HDFC Bank 2019,Fixed Deposits,-,0.00 - 0.85,0.53
7.7% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.56,0.51
2. Aditya Birla Sun Life Arbitrage Fund - Direct Plan
9.3219% Tata Capital 2019,Debenture,AAA,0.00 - 3.86,3.54
HDFC 2020,Non Convertible Debenture,AAA,0.00 - 2.38,2.17
Tata Capital 364-D 13/11/2019,Commercial Paper,A1+,0.00 - 4.59,1.80
6.65% RBL Bank 2020,Fixed Deposits,-,0.00 - 1.16,1.07
7% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.14,1.04
6.85% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.11,1.02
6.85% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.11,1.02
6.85% Federal Bank 2020,Fixed Deposits,-,0.00 - 1.11,1.02
9.05% M&M Financial Services 2019,Debenture,AAA,0.00 - 1.05,0.96
6.65% Federal Bank 2020,Fixed Deposits,-,0.00 - 0.85,0.85
8.43% HDFC 2020,Bonds/Debentures,AAA,0.00 - 0.59,0.54
6.75% RBL Bank 2020,Fixed Deposits,-,0.00 - 0.58,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.1% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
8.2% IDFC First Bank 2020,Fixed Deposits,-,0.00 - 0.86,0.53
5.6% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.6% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.6% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
5.75% HDFC Bank 2020,Fixed Deposits,-,0.00 - 0.53,0.53
