Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
Reliance Industries,Energy,21.30,8.85,0.00,8.85
HDFC,Financial,34.47,8.44,0.00,7.61
Tata Consultancy Services,Technology,23.92,3.22,0.00,3.22
Sun Pharmaceutical Inds.,Healthcare,32.01,3.02,0.01,3.02
State Bank of India,Financial,30.54,4.15,0.00,2.89
ITC,FMCG,23.98,3.91,0.02,2.56
Aurobindo Pharma,Healthcare,10.97,4.89,0.14,2.15
Infosys,Technology,17.89,2.33,0.00,2.13
ICICI Bank,Financial,54.53,2.17,0.00,1.79
JSW Steel,Metals,8.45,5.16,0.35,1.72
Axis Bank,Financial,45.74,2.33,0.00,1.62
Bharti Airtel,Communication,0.00,1.89,0.00,1.59
HDFC Bank,Financial,29.02,7.70,0.00,1.52
United Spirits,FMCG,58.08,1.40,0.05,1.29
BPCL,Energy,19.54,1.24,0.00,1.24
Indusind Bank,Financial,22.01,1.81,0.00,1.18
HPCL,Energy,9.39,1.44,0.00,1.11
Maruti Suzuki India,Automobile,31.85,3.71,0.06,1.08
Titan Company,Cons Durable,84.02,1.18,0.00,1.07
Adani Power,Engineering,0.00,1.39,0.00,0.99
Bajaj Finserv,Financial,34.76,0.97,0.00,0.97
HCL Technologies,Technology,14.96,0.97,0.00,0.97
Zee Entertainment,Services,13.11,0.92,0.00,0.92
Cipla,Healthcare,23.67,1.37,0.00,0.88
UPL,Chemicals,40.97,0.99,0.27,0.79
2. Aditya Birla Sun Life Arbitrage Fund - Direct Plan
Reliance Industries,Energy,21.30,8.85,0.00,8.85
HDFC,Financial,34.47,8.44,0.00,7.61
Tata Consultancy Services,Technology,23.92,3.22,0.00,3.22
Sun Pharmaceutical Inds.,Healthcare,32.01,3.02,0.01,3.02
State Bank of India,Financial,30.54,4.15,0.00,2.89
ITC,FMCG,23.98,3.91,0.02,2.56
Aurobindo Pharma,Healthcare,10.97,4.89,0.14,2.15
Infosys,Technology,17.89,2.33,0.00,2.13
ICICI Bank,Financial,54.53,2.17,0.00,1.79
JSW Steel,Metals,8.45,5.16,0.35,1.72
Axis Bank,Financial,45.74,2.33,0.00,1.62
Bharti Airtel,Communication,0.00,1.89,0.00,1.59
HDFC Bank,Financial,29.02,7.70,0.00,1.52
United Spirits,FMCG,58.08,1.40,0.05,1.29
BPCL,Energy,19.54,1.24,0.00,1.24
Indusind Bank,Financial,22.01,1.81,0.00,1.18
HPCL,Energy,9.39,1.44,0.00,1.11
Maruti Suzuki India,Automobile,31.85,3.71,0.06,1.08
Titan Company,Cons Durable,84.02,1.18,0.00,1.07
Adani Power,Engineering,0.00,1.39,0.00,0.99
Bajaj Finserv,Financial,34.76,0.97,0.00,0.97
HCL Technologies,Technology,14.96,0.97,0.00,0.97
Zee Entertainment,Services,13.11,0.92,0.00,0.92
Cipla,Healthcare,23.67,1.37,0.00,0.88
UPL,Chemicals,40.97,0.99,0.27,0.79
3. Aditya Birla Sun Life Asset Allocator Multi-Manager FoF Scheme
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,18.61
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,15.67
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,13.69
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,11.17
Aditya Birla SL Small Cap Direct-G,-,-,-,-,10.91
Aditya Birla SL India GenNext Direct-G,-,-,-,-,9.84
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,7.45
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,6.52
4. Aditya Birla Sun Life Asset Allocator Multi-Manager FoF Scheme - Direct Plan
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,18.61
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,15.67
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,13.69
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,11.17
Aditya Birla SL Small Cap Direct-G,-,-,-,-,10.91
Aditya Birla SL India GenNext Direct-G,-,-,-,-,9.84
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,7.45
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,6.52
5. Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Direct Plan
Honeywell Automation,Engineering,67.34,9.18,6.49,9.18
Reliance Industries,Energy,21.30,8.71,7.53,8.71
HDFC,Financial,34.47,7.33,5.01,7.33
Gillette,FMCG,100.81,7.27,5.96,6.63
Pfizer,Healthcare,33.57,5.88,4.69,5.88
Kotak Mahindra Bank,Financial,37.73,4.62,3.46,4.62
Bayer CropScience,Healthcare,101.68,5.89,4.12,4.48
Glaxosmithkline Pharma,Healthcare,30.37,4.46,3.62,4.46
Larsen & Toubro,Construction,21.94,4.37,3.37,4.35
Thomas Cook (India),Services,115.55,4.58,2.65,2.65
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,57.10,2.69,2.15,2.55
Shopper's Stop,Services,48.87,3.03,2.25,2.52
IDFC First Bank,Financial,0.00,2.99,2.44,2.45
Kansai Nerolac Paints,Chemicals,60.73,2.43,1.37,2.43
Sundaram-Clayton,Automobile,38.55,3.08,1.66,2.12
HDFC Bank,Financial,29.02,2.54,1.77,2.08
Bata India,FMCG,65.80,1.60,1.21,1.60
ICICI Bank,Financial,54.53,1.77,1.27,1.55
Biocon,Healthcare,31.15,2.43,1.41,1.52
Shree Cement,Construction,53.69,2.03,1.44,1.44
MRF,Automobile,24.75,1.42,1.02,1.36
Bharat Bijlee,Engineering,13.30,1.70,0.00,1.32
P&G Hygiene & Health Care,FMCG,91.85,1.32,0.77,1.32
Century Textiles & Inds.,Diversified,10.33,1.51,0.72,1.28
Axis Bank,Financial,45.74,1.28,1.03,1.11
6. Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Regular Plan
Honeywell Automation,Engineering,67.34,9.18,6.49,9.18
Reliance Industries,Energy,21.30,8.71,7.53,8.71
HDFC,Financial,34.47,7.33,5.01,7.33
Gillette,FMCG,100.81,7.27,5.96,6.63
Pfizer,Healthcare,33.57,5.88,4.69,5.88
Kotak Mahindra Bank,Financial,37.73,4.62,3.46,4.62
Bayer CropScience,Healthcare,101.68,5.89,4.12,4.48
Glaxosmithkline Pharma,Healthcare,30.37,4.46,3.62,4.46
Larsen & Toubro,Construction,21.94,4.37,3.37,4.35
Thomas Cook (India),Services,115.55,4.58,2.65,2.65
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,57.10,2.69,2.15,2.55
Shopper's Stop,Services,48.87,3.03,2.25,2.52
IDFC First Bank,Financial,0.00,2.99,2.44,2.45
Kansai Nerolac Paints,Chemicals,60.73,2.43,1.37,2.43
Sundaram-Clayton,Automobile,38.55,3.08,1.66,2.12
HDFC Bank,Financial,29.02,2.54,1.77,2.08
Bata India,FMCG,65.80,1.60,1.21,1.60
ICICI Bank,Financial,54.53,1.77,1.27,1.55
Biocon,Healthcare,31.15,2.43,1.41,1.52
Shree Cement,Construction,53.69,2.03,1.44,1.44
MRF,Automobile,24.75,1.42,1.02,1.36
Bharat Bijlee,Engineering,13.30,1.70,0.00,1.32
P&G Hygiene & Health Care,FMCG,91.85,1.32,0.77,1.32
Century Textiles & Inds.,Diversified,10.33,1.51,0.72,1.28
