Company,Instrument,Credit Rating,1Y Range,% Assets
1. HSBC Equity Hybrid Fund - Direct Plan
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 4.01,3.91
7.61% HUDCO 2022,Debenture,AAA,0.00 - 3.98,3.89
7.9% Aditya Birla Finance 2020,Debenture,AAA,0.00 - 2.37,2.32
8.35% REC 2022,Debenture,AAA,0.00 - 1.92,1.88
7.87% HDFC 2022,Non Convertible Debenture,AAA,0.00 - 1.59,1.55
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 1.53,1.51
National Bank Agr. Rur. Devp 2020,Commercial Paper,A1+,0.00 - 1.49,1.46
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 1.17,1.14
7.57% GOI 2033,GOI Securities,SOV,0.00 - 0.81,0.81
6.99% SIDBI 2022,Bonds/NCDs,AAA,0.00 - 0.79,0.77
2. HSBC Equity Hybrid Fund - Regular Plan
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 4.01,3.91
7.61% HUDCO 2022,Debenture,AAA,0.00 - 3.98,3.89
7.9% Aditya Birla Finance 2020,Debenture,AAA,0.00 - 2.37,2.32
8.35% REC 2022,Debenture,AAA,0.00 - 1.92,1.88
7.87% HDFC 2022,Non Convertible Debenture,AAA,0.00 - 1.59,1.55
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 1.53,1.51
National Bank Agr. Rur. Devp 2020,Commercial Paper,A1+,0.00 - 1.49,1.46
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 1.17,1.14
7.57% GOI 2033,GOI Securities,SOV,0.00 - 0.81,0.81
6.99% SIDBI 2022,Bonds/NCDs,AAA,0.00 - 0.79,0.77
33. HSBC Regular Savings Fund
7.32% GOI 2024,GOI Securities,SOV,0.00 - 15.58,15.58
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 9.97,9.95
7.27% GOI 2026,GOI Securities,SOV,0.00 - 8.79,7.56
8.3% IRFC 2029,Debenture,AAA,0.00 - 6.87,6.87
6.68% GOI 2031,GOI Securities,SOV,0.00 - 6.80,5.52
7.17% GOI 2028,GOI Securities,SOV,0.00 - 10.82,4.80
8.37% HUDCO 2029,Debenture,AAA,0.00 - 4.48,4.47
8.35% REC 2022,Debenture,AAA,0.00 - 2.88,2.88
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 2.80,2.77
7.85% Tata Sons 2021,Privately Placed Debts,AAA,1.65 - 2.34,2.34
7.64% Can Fin Homes 2021,Debenture,AA+,0.00 - 2.13,2.13
7.57% GOI 2033,GOI Securities,SOV,0.00 - 1.48,1.48
8.8% IDFC First Bank 2021,Debenture,AA,0.00 - 0.94,0.94
India Infoline Finance 2021,Debenture,AA,0.55 - 0.82,0.82
IIFL Home Finance 2021,Debenture,AA,0.56 - 0.82,0.82
8% Shriram Transport Finance 2020,Debenture,AA+,0.33 - 0.46,0.46
34. HSBC Regular Savings Fund - Direct Plan
7.32% GOI 2024,GOI Securities,SOV,0.00 - 15.58,15.58
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 9.97,9.95
7.27% GOI 2026,GOI Securities,SOV,0.00 - 8.79,7.56
8.3% IRFC 2029,Debenture,AAA,0.00 - 6.87,6.87
6.68% GOI 2031,GOI Securities,SOV,0.00 - 6.80,5.52
7.17% GOI 2028,GOI Securities,SOV,0.00 - 10.82,4.80
8.37% HUDCO 2029,Debenture,AAA,0.00 - 4.48,4.47
8.35% REC 2022,Debenture,AAA,0.00 - 2.88,2.88
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 2.80,2.77
7.85% Tata Sons 2021,Privately Placed Debts,AAA,1.65 - 2.34,2.34
7.64% Can Fin Homes 2021,Debenture,AA+,0.00 - 2.13,2.13
7.57% GOI 2033,GOI Securities,SOV,0.00 - 1.48,1.48
8.8% IDFC First Bank 2021,Debenture,AA,0.00 - 0.94,0.94
India Infoline Finance 2021,Debenture,AA,0.55 - 0.82,0.82
IIFL Home Finance 2021,Debenture,AA,0.56 - 0.82,0.82
8% Shriram Transport Finance 2020,Debenture,AA+,0.33 - 0.46,0.46
41. ICICI Prudential Balanced Advantage Fund
8.75% Axis Bank,Bonds/Debentures,AA+,1.41 - 2.02,1.99
9.2% ICICI Bank 2050,Bonds,AA+,1.60 - 1.87,1.84
8.75% Axis Bank 2022,Bonds,AA+,0.30 - 1.42,1.38
HDFC Bank 91-D 25/11/2019,Fixed Deposits,-,0.00 - 1.24,1.22
HDFC Bank 91-D 29/10/2019,Fixed Deposits,-,0.00 - 1.02,1.00
9.15% ICICI Bank,Debenture,AA+,0.86 - 0.97,0.95
9.37% State Bank of India 2023,Debenture,AA+,0.00 - 0.92,0.90
7.74% Power Finance Corp. 2028,Non Convertible Debenture,AAA,0.82 - 0.90,0.88
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 1.06,0.82
8.25% HDFC Credila Financial Services 2021,Bonds/Debentures,AAA,0.58 - 0.64,0.63
8.2% Talwandi Sabo Power 2019,Bonds/Debentures,AA,0.00 - 0.64,0.63
8.85% HDFC Bank 2099,Bonds,AA+,0.57 - 0.63,0.60
9.5% Indusind Bank 2022,Bonds,AA,0.53 - 0.56,0.55
9.3% Tata International,Bonds,A+,0.51 - 0.55,0.54
Tata Capital Financial Services 364-D 13/12/2019,Commercial Paper,A1+,0.00 - 0.53,0.53
8.55% Talwandi Sabo Power 2021,Debenture,AA,0.50 - 0.53,0.52
8.37% HUDCO 2029,Debenture,AAA,0.00 - 0.62,0.49
Muthoot Finance 2021,Non Convertible Debenture,AA,0.00 - 0.46,0.46
HDFC Bank 92-D 03/10/2019,Fixed Deposits,-,0.00 - 0.45,0.45
8.24% National Bank Agr. Rur. Devp 2029,Debenture,AAA,0.00 - 0.72,0.41
8.5% Vedanta 2021,Debenture,AA,0.38 - 0.41,0.41
7.32% GOI 2024,GOI Securities,SOV,0.00 - 0.38,0.37
8.51% HDFC 2020,Non Convertible Debenture,AAA,0.00 - 0.37,0.36
HDFC Bank 92-D 13/11/2019,Fixed Deposits,-,0.00 - 0.36,0.36
9.5% Nayara Energy 2021,Bonds/NCDs,AA,0.34 - 0.37,0.36
42. ICICI Prudential Balanced Advantage Fund - Direct Plan
8.75% Axis Bank,Bonds/Debentures,AA+,1.41 - 2.02,1.99
9.2% ICICI Bank 2050,Bonds,AA+,1.60 - 1.87,1.84
8.75% Axis Bank 2022,Bonds,AA+,0.30 - 1.42,1.38
HDFC Bank 91-D 25/11/2019,Fixed Deposits,-,0.00 - 1.24,1.22
HDFC Bank 91-D 29/10/2019,Fixed Deposits,-,0.00 - 1.02,1.00
9.15% ICICI Bank,Debenture,AA+,0.86 - 0.97,0.95
9.37% State Bank of India 2023,Debenture,AA+,0.00 - 0.92,0.90
7.74% Power Finance Corp. 2028,Non Convertible Debenture,AAA,0.82 - 0.90,0.88
9.1106% LIC Housing Fin. 2020,Non Convertible Debenture,AAA,0.00 - 1.06,0.82
8.25% HDFC Credila Financial Services 2021,Bonds/Debentures,AAA,0.58 - 0.64,0.63
8.2% Talwandi Sabo Power 2019,Bonds/Debentures,AA,0.00 - 0.64,0.63
8.85% HDFC Bank 2099,Bonds,AA+,0.57 - 0.63,0.60
9.5% Indusind Bank 2022,Bonds,AA,0.53 - 0.56,0.55
9.3% Tata International,Bonds,A+,0.51 - 0.55,0.54
Tata Capital Financial Services 364-D 13/12/2019,Commercial Paper,A1+,0.00 - 0.53,0.53
8.55% Talwandi Sabo Power 2021,Debenture,AA,0.50 - 0.53,0.52
8.37% HUDCO 2029,Debenture,AAA,0.00 - 0.62,0.49
Muthoot Finance 2021,Non Convertible Debenture,AA,0.00 - 0.46,0.46
HDFC Bank 92-D 03/10/2019,Fixed Deposits,-,0.00 - 0.45,0.45
8.24% National Bank Agr. Rur. Devp 2029,Debenture,AAA,0.00 - 0.72,0.41
8.5% Vedanta 2021,Debenture,AA,0.38 - 0.41,0.41
7.32% GOI 2024,GOI Securities,SOV,0.00 - 0.38,0.37
8.51% HDFC 2020,Non Convertible Debenture,AAA,0.00 - 0.37,0.36
