Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
Sonata Software,Technology,12.77,3.81,0.00,3.30
DCB Bank,Financial,15.89,3.46,0.00,3.07
NIIT Technologies,Technology,22.36,4.11,1.44,3.05
INOX Leisure,Services,29.58,2.40,0.00,2.40
Chambal Fertilisers & Chem.,Chemicals,10.57,3.63,0.00,2.38
Kei Industries,Engineering,21.85,2.37,0.00,2.37
Balkrishna Industries,Automobile,22.05,3.54,0.00,2.36
Kalpataru Power Trans,Construction,16.85,2.34,0.79,2.34
Bajaj Electricals,Cons Durable,28.50,2.38,0.00,2.28
Indian Hotels,Services,65.94,2.42,0.78,2.26
SKF India,Engineering,31.68,3.07,0.85,2.22
Aurobindo Pharma,Healthcare,10.95,4.56,0.69,2.22
Federal Bank,Financial,11.02,2.54,0.00,2.22
Finolex Industries,Chemicals,23.73,2.21,0.00,2.21
Chalet Hotel,Services,0.00,2.18,0.00,2.18
Firstsource Solutions,Services,9.34,3.41,0.00,2.15
Procter & Gamble Health,Healthcare,52.06,2.14,0.00,2.14
Sharda Cropchem,Chemicals,15.22,4.09,0.00,1.89
Atul,Chemicals,26.59,2.03,0.00,1.88
TV Today,Services,14.05,2.47,0.00,1.86
Bank of Baroda,Financial,57.41,2.78,0.00,1.85
KEC International,Engineering,14.10,3.94,0.00,1.77
PNC Infratech,Services,13.81,2.85,0.81,1.72
Gujarat Fluorochemicals,Chemicals,-,1.74,0.00,1.62
Vardhman Textiles,Textiles,7.65,2.51,0.00,1.60
2. HDFC Small Cap Fund - Regular Plan
Sonata Software,Technology,12.77,3.81,0.00,3.30
DCB Bank,Financial,15.89,3.46,0.00,3.07
NIIT Technologies,Technology,22.36,4.11,1.44,3.05
INOX Leisure,Services,29.58,2.40,0.00,2.40
Chambal Fertilisers & Chem.,Chemicals,10.57,3.63,0.00,2.38
Kei Industries,Engineering,21.85,2.37,0.00,2.37
Balkrishna Industries,Automobile,22.05,3.54,0.00,2.36
