Company,Instrument,Credit Rating,1Y Range,% Assets
3. HSBC Fixed Term Series 128 - Direct Plan
Bajaj Finance 2020,Debenture,AAA,7.73 - 7.83,7.83
8.87% REC 2020,Bonds,AAA,6.56 - 7.06,6.56
8.39% Rajasthan State 2020,State Development Loan,SOV,6.56 - 7.09,6.56
8.15% Power Grid Corporation 2020,Debenture,AAA,6.55 - 7.00,6.55
7.81% LIC Housing Fin. 2020,Debenture,AAA,6.52 - 6.91,6.52
7.09% Export-Import Bank 2020,Bonds,AAA,6.52 - 6.91,6.52
7.71% Tata Capital Housing Finance 2020,Debenture,AAA,6.50 - 6.88,6.50
7.9% L&T Infra Debt Fund 2020,Bonds,AAA,6.49 - 6.94,6.49
6.83% Power Finance Corp. 2020,Bonds,AAA,6.49 - 6.86,6.49
7.85% Indian Hotels 2020,Debenture,AA+,6.48 - 6.89,6.48
8.1% Shriram Transport Finance 2020,Debenture,AA+,6.40 - 6.87,6.45
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 6.33,6.33
7.7% HUDCO 2020,Debenture,AAA,5.75 - 6.11,5.75
6.73% IRFC 2020,Debenture,AAA,5.21 - 5.51,5.21
8.78% NHPC 2020,Bonds,AAA,4.72 - 5.08,4.72
8.85% NHPC 2020,Bonds,AAA,1.43 - 1.54,1.43
4. HSBC Fixed Term Series 128 - Regular Plan
Bajaj Finance 2020,Debenture,AAA,7.73 - 7.83,7.83
8.87% REC 2020,Bonds,AAA,6.56 - 7.06,6.56
8.39% Rajasthan State 2020,State Development Loan,SOV,6.56 - 7.09,6.56
8.15% Power Grid Corporation 2020,Debenture,AAA,6.55 - 7.00,6.55
7.81% LIC Housing Fin. 2020,Debenture,AAA,6.52 - 6.91,6.52
7.09% Export-Import Bank 2020,Bonds,AAA,6.52 - 6.91,6.52
7.71% Tata Capital Housing Finance 2020,Debenture,AAA,6.50 - 6.88,6.50
7.9% L&T Infra Debt Fund 2020,Bonds,AAA,6.49 - 6.94,6.49
6.83% Power Finance Corp. 2020,Bonds,AAA,6.49 - 6.86,6.49
7.85% Indian Hotels 2020,Debenture,AA+,6.48 - 6.89,6.48
8.1% Shriram Transport Finance 2020,Debenture,AA+,6.40 - 6.87,6.45
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 6.33,6.33
7.7% HUDCO 2020,Debenture,AAA,5.75 - 6.11,5.75
6.73% IRFC 2020,Debenture,AAA,5.21 - 5.51,5.21
